Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
89;28.1701;28.041;-256.755;-256.254;-256.692;-256.888;-256.942;-256.003;10:11:25
90;28.174;28.041;-256.751;-256.262;-256.684;-256.888;-256.95;-255.996;10:11:25
91;28.174;28.0449;-256.755;-256.254;-256.692;-256.88;-256.942;-255.996;10:11:26
92;28.1779;28.041;-256.755;-256.262;-256.692;-256.88;-256.95;-256.003;10:11:26
93;28.1779;28.0449;-256.751;-256.254;-256.692;-256.888;-256.942;-255.988;10:11:27
94;28.1818;28.0449;-256.755;-256.262;-256.692;-256.895;-256.942;-256.003;10:11:27
95;28.1779;28.0449;-256.755;-256.254;-256.692;-256.895;-256.95;-255.996;10:11:28
96;28.1818;28.0488;-256.755;-256.262;-256.684;-256.888;-256.95;-256.003;10:11:28
97;28.1818;28.0449;-256.755;-256.254;-256.692;-256.888;-256.958;-256.011;10:11:29
98;28.1857;28.0449;-256.751;-256.262;-256.692;-256.895;-256.942;-256.003;10:11:29
99;28.1818;28.0488;-256.755;-256.262;-256.684;-256.88;-256.942;-256.011;10:11:30
100;28.1818;28.0527;-256.755;-256.254;-256.684;-256.888;-256.95;-256.003;10:11:30
101;28.1818;28.0566;-256.751;-256.254;-256.684;-256.888;-256.942;-256.003;10:11:31
102;28.1857;28.0566;-256.755;-256.254;-256.692;-256.888;-256.935;-256.003;10:11:31
103;28.1857;28.0488;-256.755;-256.254;-256.684;-256.888;-256.942;-256.003;10:11:32
104;28.1857;28.0566;-256.755;-256.262;-256.692;-256.888;-256.942;-256.011;10:11:32
105;28.1818;28.0488;-256.751;-256.254;-256.692;-256.888;-256.942;-255.996;10:11:33
106;28.1935;28.0566;-256.755;-256.262;-256.692;-256.888;-256.942;-256.003;10:11:33
107;28.1857;28.0644;-256.755;-256.254;-256.692;-256.895;-256.942;-255.996;10:11:34
108;28.1935;28.0566;-256.755;-256.254;-256.692;-256.888;-256.942;-256.003;10:11:34
109;28.1935;28.0566;-256.755;-256.262;-256.7;-256.88;-256.95;-256.003;10:11:35
110;28.1935;28.0644;-256.755;-256.262;-256.684;-256.888;-256.935;-255.996;10:11:35
111;28.2014;28.0566;-256.751;-256.254;-256.692;-256.888;-256.942;-256.003;10:11:36
112;28.1857;28.0566;-256.755;-256.262;-256.692;-256.888;-256.95;-256.003;10:11:36
113;28.1935;28.0644;-256.751;-256.254;-256.692;-256.895;-256.95;-255.996;10:11:37
114;28.1935;28.0644;-256.755;-256.254;-256.692;-256.888;-256.942;-256.003;10:11:37
115;28.2014;28.0723;-256.755;-256.262;-256.692;-256.895;-256.95;-256.003;10:11:38
116;28.2014;28.0644;-256.755;-256.262;-256.692;-256.895;-256.942;-256.003;10:11:38
117;28.2014;28.0644;-256.751;-256.262;-256.692;-256.895;-256.942;-256.003;10:11:39
118;28.2092;28.0723;-256.747;-256.254;-256.692;-256.888;-256.95;-256.003;10:11:39
119;28.2014;28.0723;-256.751;-256.262;-256.692;-256.895;-256.935;-256.003;10:11:40
120;28.2092;28.0723;-256.751;-256.262;-256.692;-256.895;-256.95;-256.003;10:11:40
121;28.2014;28.0723;-256.751;-256.262;-256.7;-256.888;-256.95;-256.003;10:11:41
122;28.217;28.0723;-256.755;-256.254;-256.692;-256.895;-256.942;-256.003;10:11:41
123;28.217;28.0723;-256.758;-256.262;-256.692;-256.895;-256.942;-256.003;10:11:42
