Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;DT9;DT10;DT11;DT12;DT13;DT14;DT15;DT16;Time
41;25.9047;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-255.988;-256.41;14:14:49
42;25.9126;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:49
43;25.9126;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:50
44;25.9126;-256.41;25.8617;-256.41;-256.762;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.935;-256.41;-256.003;-256.41;14:14:50
45;25.9047;-256.41;25.8695;-256.41;-256.758;-256.41;-256.269;-256.41;-256.692;-256.41;-256.903;-256.41;-256.919;-256.41;-256.003;-256.41;14:14:51
46;25.9204;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:51
47;25.9126;-256.41;25.8617;-256.41;-256.758;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.919;-256.41;-256.003;-256.41;14:14:52
48;25.9126;-256.41;25.8773;-256.41;-256.755;-256.41;-256.262;-256.41;-256.7;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:52
49;25.9204;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.935;-256.41;-255.988;-256.41;14:14:53
50;25.9126;-256.41;25.8617;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:53
51;25.9126;-256.41;25.8695;-256.41;-256.758;-256.41;-256.269;-256.41;-256.684;-256.41;-256.911;-256.41;-256.927;-256.41;-256.003;-256.41;14:14:54
52;25.9126;-256.41;25.8617;-256.41;-256.755;-256.41;-256.269;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:54
53;25.9126;-256.41;25.8617;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:55
54;25.9126;-256.41;25.8617;-256.41;-256.758;-256.41;-256.262;-256.41;-256.684;-256.41;-256.911;-256.41;-256.919;-256.41;-256.003;-256.41;14:14:55
55;25.9047;-256.41;25.8773;-256.41;-256.758;-256.41;-256.269;-256.41;-256.692;-256.41;-256.903;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:56
56;25.9047;-256.41;25.8617;-256.41;-256.755;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.927;-256.41;-255.996;-256.41;14:14:56
57;25.9047;-256.41;25.8695;-256.41;-256.758;-256.41;-256.269;-256.41;-256.692;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:57
58;25.9047;-256.41;25.8617;-256.41;-256.762;-256.41;-256.269;-256.41;-256.7;-256.41;-256.903;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:57
59;25.9047;-256.41;25.8695;-256.41;-256.758;-256.41;-256.262;-256.41;-256.692;-256.41;-256.911;-256.41;-256.923;-256.41;-255.996;-256.41;14:14:58
60;25.9047;-256.41;25.8695;-256.41;-256.758;-256.41;-256.269;-256.41;-256.684;-256.41;-256.911;-256.41;-256.919;-256.41;-256.003;-256.41;14:14:58
61;25.9047;-256.41;25.8695;-256.41;-256.762;-256.41;-256.262;-256.41;-256.692;-256.41;-256.903;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:59
62;25.9047;-256.41;25.8617;-256.41;-256.758;-256.41;-256.277;-256.41;-256.7;-256.41;-256.911;-256.41;-256.919;-256.41;-255.996;-256.41;14:14:59
63;25.9047;-256.41;25.8695;-256.41;-256.758;-256.41;-256.269;-256.41;-256.692;-256.41;-256.903;-256.41;-256.927;-256.41;-256.003;-256.41;14:15:00
