Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P now;T imp;K_prop;Time
58;23.0408;23.1464;-256.747;-256.25;-256.7;-256.919;-256.974;-255.98;0;None;37.35;11:34:17
59;23.0486;23.1621;-256.747;-256.246;-256.708;-256.919;-256.981;-255.988;0;None;37.35;11:34:18
60;23.0564;23.1464;-256.751;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:18
61;23.0486;23.1542;-256.747;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:19
62;23.0486;23.1542;-256.747;-256.246;-256.7;-256.919;-256.974;-255.98;0;None;37.35;11:34:19
63;23.0486;23.1464;-256.743;-256.242;-256.7;-256.919;-256.966;-255.98;0;None;37.35;11:34:20
64;23.0408;23.1464;-256.751;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:20
65;23.0486;23.1464;-256.747;-256.242;-256.7;-256.911;-256.966;-255.98;0;None;37.35;11:34:21
66;23.0408;23.1464;-256.747;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:21
67;23.0564;23.1464;-256.747;-256.246;-256.7;-256.911;-256.981;-255.972;0;None;37.35;11:34:22
68;23.0486;23.1386;-256.751;-256.246;-256.7;-256.927;-256.981;-255.98;0;None;37.35;11:34:22
69;23.0408;23.1542;-256.747;-256.246;-256.708;-256.919;-256.981;-255.98;0;None;37.35;11:34:23
70;23.0564;23.1386;-256.747;-256.246;-256.7;-256.927;-256.981;-255.972;0;None;37.35;11:34:23
71;23.0486;23.1464;-256.747;-256.246;-256.7;-256.927;-256.989;-255.98;0;None;37.35;11:34:24
72;23.0486;23.1464;-256.747;-256.246;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:24
73;23.0486;23.1542;-256.747;-256.25;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:25
74;23.0486;23.1386;-256.747;-256.25;-256.708;-256.927;-256.981;-255.98;0;None;37.35;11:34:25
75;23.0486;23.1464;-256.747;-256.25;-256.708;-256.919;-256.981;-255.988;0;None;37.35;11:34:26
76;23.0486;23.1386;-256.743;-256.246;-256.7;-256.919;-256.981;-255.972;0;None;37.35;11:34:26
77;23.0486;23.1386;-256.747;-256.25;-256.7;-256.927;-256.981;-255.98;0;None;37.35;11:34:27
78;23.0564;23.1386;-256.747;-256.25;-256.708;-256.927;-256.981;-255.98;0;None;37.35;11:34:27
79;23.0642;23.1464;-256.747;-256.25;-256.7;-256.919;-256.981;-255.98;0;None;37.35;11:34:28
80;23.0564;23.1386;-256.747;-256.25;-256.7;-256.927;-256.974;-255.972;0;None;37.35;11:34:28
81;23.0564;23.1386;-256.743;-256.246;-256.708;-256.919;-256.981;-255.98;0;None;37.35;11:34:29
82;23.0564;23.1464;-256.751;-256.246;-256.708;-256.919;-256.974;-255.98;0;None;37.35;11:34:29
83;23.0564;23.1464;-256.747;-256.25;-256.7;-256.927;-256.981;-255.98;0;None;37.35;11:34:30
