Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;P_now;T_imp;K_prop;T_stab;Time
95;28.0801;27.9901;27.638;-256.285;-256.684;-256.848;-256.927;-255.937;6.363;400;200;100;30;16:49:46.301
96;28.0723;27.9979;27.638;-256.285;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:46.803
97;28.0644;27.9979;27.638;-256.293;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:47.298
98;28.0644;27.9979;27.6301;-256.285;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:47.802
99;28.0566;27.9901;27.638;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:48.303
100;28.0644;27.9901;27.6301;-256.285;-256.676;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:49:48.803
101;28.0566;27.9901;27.6458;-256.285;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:49.296
102;28.0566;27.9823;27.6301;-256.285;-256.684;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:49:49.801
103;28.0644;27.9901;27.6301;-256.285;-256.692;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:50.297
104;28.0644;27.9979;27.6301;-256.285;-256.684;-256.856;-256.915;-255.937;6.363;400;200;100;30;16:49:50.800
105;28.0566;27.9901;27.6301;-256.293;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:49:51.296
106;28.0644;27.9901;27.6223;-256.285;-256.692;-256.848;-256.911;-255.937;6.363;400;200;100;30;16:49:51.798
107;28.0566;27.9979;27.6223;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:52.302
108;28.0644;27.9979;27.6223;-256.285;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:49:52.797
109;28.0644;27.9901;27.6301;-256.285;-256.692;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:53.302
110;28.0644;27.9901;27.6301;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:53.798
111;28.0644;27.9979;27.6223;-256.293;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:49:54.304
112;28.0644;27.9979;27.6301;-256.285;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:49:54.797
113;28.0566;27.9901;27.6223;-256.293;-256.684;-256.848;-256.915;-255.929;6.363;400;200;100;30;16:49:55.303
114;28.0723;27.9901;27.6223;-256.285;-256.692;-256.848;-256.911;-255.933;6.363;400;200;100;30;16:49:55.797
115;28.0644;27.9901;27.6301;-256.285;-256.684;-256.848;-256.907;-255.937;6.363;400;200;100;30;16:49:56.295
116;28.0723;27.9901;27.6301;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:56.801
117;28.0723;27.9979;27.6301;-256.285;-256.676;-256.841;-256.911;-255.937;6.363;400;200;100;30;16:49:57.303
118;28.0644;27.9901;27.638;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:57.795
119;28.0644;27.9901;27.6458;-256.285;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:49:58.302
120;28.0644;27.9901;27.6458;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:49:58.798
121;28.0644;27.9901;27.6458;-256.293;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:49:59.298
122;28.0644;27.9901;27.638;-256.293;-256.676;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:49:59.804
123;28.0644;27.9901;27.6458;-256.285;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:00.304
124;28.0723;27.9823;27.6458;-256.293;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:50:00.803
125;28.0566;27.9901;27.638;-256.285;-256.676;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:01.299
126;28.0644;27.9823;27.6458;-256.285;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:01.795
127;28.0644;27.9901;27.6301;-256.293;-256.676;-256.848;-256.911;-255.933;6.363;400;200;100;30;16:50:02.304
128;28.0723;27.9823;27.638;-256.285;-256.676;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:02.797
129;28.0723;27.9823;27.638;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:50:03.301
130;28.0644;27.9901;27.6458;-256.293;-256.692;-256.848;-256.911;-255.937;6.363;400;200;100;30;16:50:03.804
131;28.0723;27.9744;27.6301;-256.285;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:04.300
132;28.0566;27.9901;27.6458;-256.293;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:04.805
133;28.0644;27.9901;27.638;-256.293;-256.692;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:50:05.302
134;28.0644;27.9901;27.6458;-256.285;-256.684;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:50:05.796
135;28.0644;27.9823;27.6458;-256.293;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:50:06.305
136;28.0723;27.9823;27.638;-256.293;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:50:06.805
137;28.0723;27.9823;27.6458;-256.301;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:50:07.300
138;28.0644;27.9901;27.6458;-256.293;-256.676;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:07.796
139;28.0644;27.9823;27.6458;-256.293;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:50:08.304
140;28.0644;27.9901;27.6458;-256.293;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:50:08.798
141;28.0644;27.9901;27.638;-256.293;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:09.301
142;28.0644;27.9823;27.6458;-256.285;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:09.805
143;28.0723;27.9823;27.638;-256.277;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:50:10.303
144;28.0644;27.9823;27.6458;-256.285;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:10.804
145;28.0644;27.9901;27.638;-256.293;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:50:11.304
146;28.0723;27.9823;27.6458;-256.293;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:50:11.805
147;28.0644;27.9744;27.6458;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:50:12.303
148;28.0644;27.9901;27.6458;-256.293;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:12.795
149;28.0723;27.9823;27.638;-256.285;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:13.296
150;28.0644;27.9744;27.6458;-256.285;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:13.805
151;28.0723;27.9823;27.638;-256.285;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:14.305
152;28.0644;27.9901;27.638;-256.293;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:14.802
153;28.0644;27.9823;27.6458;-256.285;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:15.299
154;28.0644;27.9901;27.638;-256.285;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:50:15.802
155;28.0644;27.9823;27.6536;-256.285;-256.676;-256.825;-256.919;-255.937;6.363;400;200;100;30;16:50:16.305
156;28.0644;27.9979;27.6458;-256.293;-256.692;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:16.797
157;28.0644;27.9901;27.6458;-256.293;-256.684;-256.833;-256.915;-255.937;6.363;400;200;100;30;16:50:17.303
158;28.0644;27.9901;27.638;-256.285;-256.676;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:50:17.800
159;28.0566;27.9979;27.6458;-256.293;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:18.302
160;28.0723;27.9901;27.6458;-256.293;-256.684;-256.841;-256.911;-255.937;6.363;400;200;100;30;16:50:18.804
161;28.0723;27.9979;27.638;-256.285;-256.684;-256.848;-256.915;-255.933;6.363;400;200;100;30;16:50:19.298
162;28.0723;27.9901;27.6301;-256.293;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:19.802
163;28.0644;27.9823;27.6301;-256.285;-256.684;-256.833;-256.915;-255.937;6.363;400;200;100;30;16:50:20.298
164;28.0644;27.9901;27.6301;-256.293;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:20.806
165;28.0723;27.9823;27.6301;-256.285;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:21.303
166;28.0644;27.9823;27.6301;-256.293;-256.676;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:21.798
167;28.0644;27.9823;27.6223;-256.293;-256.692;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:22.305
168;28.0723;27.9823;27.6301;-256.285;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:22.800
169;28.0644;27.9901;27.6301;-256.293;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:23.305
170;28.0644;27.9823;27.6301;-256.293;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:23.805
171;28.0723;27.9823;27.6301;-256.293;-256.684;-256.848;-256.915;-255.941;6.363;400;200;100;30;16:50:24.298
172;28.0723;27.9744;27.6301;-256.285;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:24.804
173;28.0644;27.9901;27.6301;-256.301;-256.692;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:25.303
174;28.0723;27.9901;27.638;-256.293;-256.684;-256.841;-256.915;-255.941;6.363;400;200;100;30;16:50:25.805
175;28.0644;27.9901;27.6301;-256.293;-256.676;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:26.305
176;28.0723;27.9901;27.6301;-256.301;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:26.801
177;28.0644;27.9901;27.6301;-256.293;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:27.298
178;28.0644;27.9901;27.6301;-256.293;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:27.805
179;28.0644;27.9823;27.6301;-256.293;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:50:28.299
180;28.0644;27.9823;27.6301;-256.293;-256.676;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:28.805
181;28.0566;27.9823;27.6301;-256.293;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:50:29.300
182;28.0644;27.9823;27.6301;-256.285;-256.676;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:29.805
183;28.0723;27.9744;27.638;-256.285;-256.692;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:50:30.302
184;28.0644;27.9823;27.6301;-256.293;-256.684;-256.841;-256.919;-255.941;6.363;400;200;100;30;16:50:30.800
185;28.0566;27.9823;27.6301;-256.293;-256.684;-256.841;-256.919;-255.933;6.363;400;200;100;30;16:50:31.297
186;28.0723;27.9744;27.6223;-256.293;-256.692;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:31.804
187;28.0566;27.9823;27.6301;-256.285;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:32.299
188;28.0644;27.9823;27.6301;-256.293;-256.692;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:32.802
189;28.0644;27.9823;27.6223;-256.285;-256.684;-256.841;-256.927;-255.937;6.363;400;200;100;30;16:50:33.308
190;28.0566;27.9901;27.6301;-256.285;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:33.802
191;28.0644;27.9744;27.6223;-256.285;-256.684;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:50:34.296
192;28.0644;27.9823;27.6301;-256.277;-256.684;-256.848;-256.919;-255.933;6.363;400;200;100;30;16:50:34.801
193;28.0644;27.9901;27.6301;-256.285;-256.684;-256.841;-256.915;-255.937;6.363;400;200;100;30;16:50:35.306
194;28.0644;27.9823;27.6301;-256.277;-256.684;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:50:35.804
195;28.0644;27.9823;27.6223;-256.285;-256.684;-256.841;-256.915;-255.933;6.363;400;200;100;30;16:50:36.299
196;28.0566;27.9823;27.6145;-256.285;-256.676;-256.833;-256.919;-255.941;6.363;400;200;100;30;16:50:36.803
197;28.0644;27.9823;27.6301;-256.285;-256.684;-256.841;-256.927;-255.937;6.363;400;200;100;30;16:50:37.300
198;28.0723;27.9823;27.6301;-256.277;-256.676;-256.841;-256.919;-255.941;6.363;400;200;100;30;16:50:37.806
199;28.0566;27.9901;27.6223;-256.285;-256.692;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:38.304
200;28.0644;27.9823;27.6223;-256.285;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:38.799
201;28.0644;27.9823;27.638;-256.277;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:39.304
202;28.0644;27.9901;27.6301;-256.285;-256.684;-256.848;-256.915;-255.941;6.363;400;200;100;30;16:50:39.799
203;28.0644;27.9823;27.638;-256.285;-256.684;-256.848;-256.911;-255.933;6.363;400;200;100;30;16:50:40.302
204;28.0801;27.9823;27.638;-256.277;-256.684;-256.848;-256.915;-255.941;6.363;400;200;100;30;16:50:40.799
205;28.0723;27.9823;27.6301;-256.285;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:41.304
206;28.0723;27.9744;27.638;-256.285;-256.676;-256.841;-256.915;-255.941;6.363;400;200;100;30;16:50:41.799
207;28.0723;27.9823;27.638;-256.277;-256.692;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:42.305
208;28.0644;27.9823;27.6301;-256.285;-256.684;-256.841;-256.923;-255.937;6.363;400;200;100;30;16:50:42.803
209;28.0644;27.9901;27.6223;-256.285;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:43.300
210;28.0723;27.9823;27.6223;-256.285;-256.684;-256.848;-256.915;-255.941;6.363;400;200;100;30;16:50:43.803
211;28.0644;27.9823;27.6223;-256.285;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:44.299
212;28.0723;27.9901;27.6223;-256.285;-256.684;-256.848;-256.919;-255.941;6.363;400;200;100;30;16:50:44.806
213;28.0644;27.9823;27.6223;-256.277;-256.684;-256.848;-256.915;-255.941;6.363;400;200;100;30;16:50:45.304
214;28.0644;27.9901;27.6223;-256.285;-256.684;-256.841;-256.915;-255.945;6.363;400;200;100;30;16:50:45.797
215;28.0723;27.9823;27.6301;-256.277;-256.684;-256.848;-256.915;-255.937;6.363;400;200;100;30;16:50:46.304
216;28.0644;27.9823;27.638;-256.285;-256.692;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:50:46.806
217;28.0644;27.9823;27.6301;-256.285;-256.684;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:47.306
218;28.0644;27.9979;27.6301;-256.285;-256.684;-256.848;-256.915;-255.941;6.363;400;200;100;30;16:50:47.800
219;28.0566;27.9979;27.6223;-256.293;-256.684;-256.841;-256.919;-255.941;6.363;400;200;100;30;16:50:48.302
220;28.0644;27.9979;27.6223;-256.285;-256.684;-256.848;-256.919;-255.945;6.363;400;200;100;30;16:50:48.798
221;28.0644;27.9979;27.6301;-256.293;-256.684;-256.848;-256.915;-255.941;6.363;400;200;100;30;16:50:49.302
222;28.0566;27.9979;27.6223;-256.285;-256.684;-256.841;-256.919;-255.937;6.363;400;200;100;30;16:50:49.805
223;28.0644;28.0057;27.6301;-256.293;-256.692;-256.848;-256.919;-255.937;6.363;400;200;100;30;16:50:50.306
