Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time;;DT8;DT7
685;36.0303;34.1993;-256.751;-256.246;-256.692;-256.911;-256.95;-255.972;12:32:51;;;
686;36.0147;34.1993;-256.751;-256.246;-256.7;-256.919;-256.958;-255.972;12:32:52;;;
687;35.999;34.1836;-256.755;-256.25;-256.692;-256.919;-256.958;-255.972;12:32:52;;;
688;35.9755;34.1679;-256.751;-256.25;-256.692;-256.927;-256.958;-255.972;12:32:53;;;
689;35.9677;34.1601;-256.755;-256.246;-256.692;-256.919;-256.95;-255.964;12:32:53;;;
690;35.9364;34.1445;-256.755;-256.246;-256.692;-256.919;-256.958;-255.972;12:32:54;;;
691;35.9286;34.1288;-256.755;-256.254;-256.7;-256.919;-256.958;-255.964;12:32:54;;;
692;35.9051;34.1132;-256.755;-256.25;-256.7;-256.927;-256.958;-255.972;12:32:55;;;
693;35.8816;34.1053;-256.751;-256.246;-256.684;-256.927;-256.958;-255.972;12:32:55;;;
694;35.866;34.1014;-256.751;-256.25;-256.692;-256.927;-256.958;-255.964;12:32:56;;;
695;35.8542;34.0936;-256.751;-256.246;-256.684;-256.927;-256.958;-255.972;12:32:56;;;
696;35.8308;34.0701;-256.751;-256.246;-256.692;-256.919;-256.958;-255.964;12:32:57;;;
697;35.7995;34.0545;-256.747;-256.25;-256.692;-256.927;-256.95;-255.972;12:32:57;;;
698;35.7838;34.0388;-256.751;-256.25;-256.692;-256.927;-256.966;-255.964;12:32:58;;;
699;35.7447;34.0154;-256.755;-256.25;-256.684;-256.919;-256.958;-255.972;12:32:58;;;
700;35.7212;33.9997;-256.751;-256.25;-256.692;-256.927;-256.966;-255.972;12:32:59;;;
701;35.6899;33.9762;-256.751;-256.25;-256.684;-256.927;-256.958;-255.972;12:32:59;;;
702;35.6664;33.9528;-256.751;-256.254;-256.692;-256.919;-256.958;-255.972;12:33:00;;;
703;35.6469;33.9293;-256.751;-256.25;-256.692;-256.919;-256.958;-255.964;12:33:00;;;
704;35.6234;33.9136;-256.747;-256.25;-256.692;-256.927;-256.958;-255.972;12:33:01;;;
705;35.5921;33.898;-256.755;-256.25;-256.684;-256.919;-256.958;-255.964;12:33:01;;;
706;35.5686;33.8902;-256.751;-256.25;-256.692;-256.927;-256.958;-255.964;12:33:02;;;
707;35.5452;33.8784;-256.751;-256.25;-256.684;-256.919;-256.958;-255.972;12:33:02;;;
708;35.506;33.8549;-256.751;-256.25;-256.7;-256.927;-256.95;-255.972;12:33:03;;;
709;35.4826;33.8315;-256.755;-256.25;-256.692;-256.927;-256.958;-255.972;12:33:03;;;
710;35.4591;33.8002;-256.751;-256.254;-256.692;-256.919;-256.95;-255.964;12:33:04;;;
711;35.4317;33.7845;-256.751;-256.25;-256.692;-256.927;-256.95;-255.972;12:33:04;;;
712;35.4082;33.761;-256.755;-256.25;-256.692;-256.919;-256.95;-255.964;12:33:05;;;
713;35.3847;33.7376;-256.755;-256.246;-256.684;-256.927;-256.958;-255.964;12:33:05;;;
714;35.3378;33.7219;-256.755;-256.25;-256.692;-256.919;-256.942;-255.972;12:33:06;;;
715;35.3221;33.6984;-256.751;-256.25;-256.692;-256.919;-256.95;-255.964;12:33:06;;;
716;35.2908;33.6828;-256.755;-256.25;-256.692;-256.927;-256.95;-255.972;12:33:07;;;
717;35.2595;33.675;-256.751;-256.25;-256.692;-256.919;-256.95;-255.964;12:33:07;;;
718;35.2243;33.6554;-256.751;-256.25;-256.684;-256.919;-256.95;-255.972;12:33:08;;;
719;35.2048;33.6398;-256.755;-256.254;-256.692;-256.927;-256.95;-255.964;12:33:08;;;
720;35.1852;33.6241;-256.751;-256.25;-256.684;-256.919;-256.958;-255.964;12:33:09;;;
721;35.1539;33.5928;-256.755;-256.254;-256.684;-256.919;-256.95;-255.972;12:33:09;;;
722;35.1148;33.5772;-256.755;-256.254;-256.692;-256.919;-256.958;-255.964;12:33:10;;;
